datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,q4_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,10372.18,ssb,1
hudi,spark,q4_3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2824.45,ssb,1
hudi,spark,db1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2364.54,ssb,1
hudi,spark,db10,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3869.56,ssb,1
hudi,spark,db11,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,7002.27,ssb,1
hudi,spark,db14,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5502.63,ssb,1
hudi,spark,db15,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,7964.56,ssb,1
hudi,spark,db16,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2499.51,ssb,1
hudi,spark,db18,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,7788.95,ssb,1
hudi,spark,db19,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,7430.94,ssb,1
hudi,spark,db2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5375.06,ssb,1
hudi,spark,db21,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,7469.21,ssb,1
hudi,spark,db3,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2743.24,ssb,1
hudi,spark,db6,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2233.82,ssb,1
hudi,spark,db7,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2919.3,ssb,1
hudi,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1978.39,ssb,1
hudi,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2817.82,ssb,1
hudi,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1657.52,ssb,1
