datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,5426.29,ssb,1
delta,spark,q4_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3722.03,ssb,1
delta,spark,q4_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,9987.84,ssb,1
delta,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,5584.85,ssb,1
delta,spark,db1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,2764.97,ssb,1
delta,spark,db10,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,2878.94,ssb,1
delta,spark,db11,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,1549.52,ssb,1
delta,spark,db14,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,2295.32,ssb,1
delta,spark,db15,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,2023.8,ssb,1
delta,spark,db16,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,2256.3,ssb,1
delta,spark,db17,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,3551.56,ssb,1
delta,spark,db18,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,2265.94,ssb,1
delta,spark,db19,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,1953.1,ssb,1
delta,spark,db21,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,1752.03,ssb,1
delta,spark,db3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,1852.0,ssb,1
delta,spark,db5,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,3737.04,ssb,1
delta,spark,db6,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,2547.42,ssb,1
delta,spark,db7,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,4769.31,ssb,1
delta,spark,q1_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,9737.56,ssb,1
delta,spark,q2_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,3698.13,ssb,1
delta,spark,q4_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,2423.75,ssb,1
delta,spark,q4_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,1892.19,ssb,1
delta,spark,q4_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,5675.96,ssb,1
delta,spark,db1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2375.27,ssb,1
delta,spark,db10,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2756.61,ssb,1
delta,spark,db11,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2809.83,ssb,1
delta,spark,db14,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1822.28,ssb,1
delta,spark,db15,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,4165.86,ssb,1
delta,spark,db16,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,5326.37,ssb,1
delta,spark,db17,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,3863.24,ssb,1
delta,spark,db18,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1697.49,ssb,1
