datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,tpch_0_q9,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,14306.0,tpch,10
iceberg,spark,tpch_0_q9,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,14356.0,tpch,10
iceberg,spark,tpch_1_q1,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,2868.0,tpch,10
iceberg,spark,tpch_1_q1,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,3641.0,tpch,10
iceberg,spark,tpch_1_q1,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,2819.0,tpch,10
iceberg,spark,tpch_1_q1,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,2995.0,tpch,10
iceberg,spark,tpch_1_q1,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,2836.0,tpch,10
iceberg,spark,tpch_1_q1,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,3158.0,tpch,10
iceberg,spark,tpch_1_q1,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,3818.0,tpch,10
iceberg,spark,tpch_1_q1,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,4016.0,tpch,10
iceberg,spark,tpch_1_q1,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,3407.0,tpch,10
iceberg,spark,tpch_1_q1,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,3422.0,tpch,10
iceberg,spark,tpch_1_q10,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,11923.0,tpch,10
iceberg,spark,tpch_1_q10,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,12379.0,tpch,10
iceberg,spark,tpch_1_q10,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,12454.0,tpch,10
iceberg,spark,tpch_1_q10,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,12040.0,tpch,10
iceberg,spark,tpch_1_q10,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,12761.0,tpch,10
iceberg,spark,tpch_1_q10,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,11449.0,tpch,10
