datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,tpcds_q_19,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3191.94,tpcds,10
hudi,spark,tpcds_q_21,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2148.48,tpcds,10
hudi,spark,tpcds_q_23,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,7552.2,tpcds,10
hudi,spark,tpcds_q_24,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3444.7,tpcds,10
hudi,spark,tpcds_q_25,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,6322.44,tpcds,10
hudi,spark,tpcds_q_27,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5589.2,tpcds,10
hudi,spark,tpcds_ssb_flat_queries,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4211.78,tpcds,10
hudi,spark,tpcds_merged,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1815.22,tpcds,10
hudi,spark,tpcds_q1,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,6970.96,tpcds,10
hudi,spark,tpcds_q10,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1900.72,tpcds,10
hudi,spark,tpcds_q11,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,12675.49,tpcds,10
hudi,spark,tpcds_q13,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1745.32,tpcds,10
hudi,spark,tpcds_q14_a,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5242.93,tpcds,10
hudi,spark,tpcds_q14_b,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,11895.18,tpcds,10
hudi,spark,tpcds_q14a,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1889.82,tpcds,10
hudi,spark,tpcds_q17,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2271.36,tpcds,10
hudi,spark,tpcds_q2,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2420.17,tpcds,10
hudi,spark,tpcds_q22,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,20864.12,tpcds,10
hudi,spark,tpcds_q23_a,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1827.44,tpcds,10
hudi,spark,tpcds_q23_b,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2555.08,tpcds,10
hudi,spark,tpcds_q24,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3631.85,tpcds,10
