datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,query9,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5022.53,tpcds,1
hudi,trino,query90,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,6086.77,tpcds,1
hudi,trino,query91,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5950.81,tpcds,1
hudi,trino,query92,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5732.06,tpcds,1
hudi,trino,query93,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5156.85,tpcds,1
hudi,trino,query94,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5552.59,tpcds,1
hudi,trino,query95,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5270.99,tpcds,1
hudi,trino,query96,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5822.76,tpcds,1
hudi,trino,query97,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,6080.83,tpcds,1
hudi,trino,query98,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5398.82,tpcds,1
hudi,trino,query99,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5826.49,tpcds,1
hudi,trino,query1,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,534.16,tpcds,1
hudi,trino,query10,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,620.76,tpcds,1
hudi,trino,query11,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,584.79,tpcds,1
hudi,trino,query12,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,621.97,tpcds,1
hudi,trino,query13,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,611.92,tpcds,1
hudi,trino,query14,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,589.35,tpcds,1
hudi,trino,query14_a,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,614.43,tpcds,1
hudi,trino,query14_b,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,563.23,tpcds,1
hudi,trino,query15,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,621.16,tpcds,1
hudi,trino,query16,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,572.06,tpcds,1
hudi,trino,query17,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,542.29,tpcds,1
hudi,trino,query18,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,589.38,tpcds,1
hudi,trino,query19,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,613.15,tpcds,1
hudi,trino,query2,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,556.6,tpcds,1
hudi,trino,query20,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,559.59,tpcds,1
hudi,trino,query21,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,625.21,tpcds,1
hudi,trino,query22,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,547.3,tpcds,1
hudi,trino,query23,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,516.78,tpcds,1
hudi,trino,query23_a,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,571.28,tpcds,1
hudi,trino,query23_b,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,551.16,tpcds,1
hudi,trino,query24,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,581.79,tpcds,1
hudi,trino,query24_a,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,561.43,tpcds,1
hudi,trino,query24_b,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,800.44,tpcds,1
hudi,trino,query25,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,883.33,tpcds,1
hudi,trino,query26,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,854.92,tpcds,1
hudi,trino,query27,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,773.52,tpcds,1
hudi,trino,query28,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,883.54,tpcds,1
hudi,trino,query29,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,807.53,tpcds,1
hudi,trino,query3,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,837.67,tpcds,1
hudi,trino,query31,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,802.26,tpcds,1
hudi,trino,query32,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,751.2,tpcds,1
hudi,trino,query33,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,883.09,tpcds,1
hudi,trino,query34,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,827.7,tpcds,1
hudi,trino,query35,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,834.24,tpcds,1
hudi,trino,query36,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,775.98,tpcds,1
hudi,trino,query37,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,773.5,tpcds,1
hudi,trino,query38,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,856.13,tpcds,1
