datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,ssb_q14,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,8530.56,ssb,10
iceberg,spark,ssb_q17,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3045.22,ssb,10
iceberg,spark,ssb_q19,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4489.09,ssb,10
iceberg,spark,ssb_q22,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,11140.21,ssb,10
iceberg,spark,ssb_q23,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,8005.83,ssb,10
iceberg,spark,ssb_q25,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,11843.31,ssb,10
iceberg,spark,ssb_q27,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6092.18,ssb,10
iceberg,spark,ssb_q36,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4593.58,ssb,10
iceberg,spark,ssb_q37,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,10201.04,ssb,10
iceberg,spark,ssb_q38,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6062.25,ssb,10
iceberg,spark,ssb_q42,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,9304.22,ssb,10
iceberg,spark,ssb_q45,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4882.41,ssb,10
iceberg,spark,ssb_q46,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,8373.32,ssb,10
iceberg,spark,ssb_q48,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,5336.33,ssb,10
