datalake,engine,query name,conf,latency,benchmark,sf
hudi,presto,ssb_q36,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,5113.43,ssb,10
hudi,presto,ssb_q37,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,2470.63,ssb,10
hudi,presto,ssb_q38,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,4119.27,ssb,10
hudi,presto,ssb_q42,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,1778.6,ssb,10
hudi,presto,ssb_q45,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,3368.3,ssb,10
hudi,presto,ssb_q46,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,9207.34,ssb,10
hudi,presto,ssb_q48,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,2588.42,ssb,10
hudi,presto,ssb_q1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,12783.65,ssb,10
hudi,presto,ssb_q11,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,11888.05,ssb,10
hudi,presto,ssb_q13,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,8863.06,ssb,10
hudi,presto,ssb_q14,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,2654.75,ssb,10
hudi,presto,ssb_q17,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,3456.52,ssb,10
hudi,presto,ssb_q19,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,2711.62,ssb,10
hudi,presto,ssb_q22,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,12473.82,ssb,10
hudi,presto,ssb_q23,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,12814.73,ssb,10
hudi,presto,ssb_q25,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,13131.35,ssb,10
hudi,presto,ssb_q27,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,1700.87,ssb,10
