datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,q1_2,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,10439.4,ssb,100
iceberg,spark,q1_3,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,4131.1,ssb,100
iceberg,spark,q2_1,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,4576.35,ssb,100
iceberg,spark,q2_2,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,14346.08,ssb,100
iceberg,spark,q2_3,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,6967.62,ssb,100
iceberg,spark,q3_1,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2983.85,ssb,100
iceberg,spark,q3_2,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2358.53,ssb,100
iceberg,spark,q3_3,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,10244.98,ssb,100
iceberg,spark,q3_4,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,11975.11,ssb,100
iceberg,spark,q4_1,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,7287.23,ssb,100
