datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,job_14b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,6823.0,job,10
hudi,spark,job_14b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,4433.0,job,10
hudi,spark,job_14b,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,5935.0,job,10
hudi,spark,job_14b,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,5202.0,job,10
hudi,spark,job_14c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,4615.0,job,10
hudi,spark,job_14c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,4019.0,job,10
hudi,spark,job_14c,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,6197.0,job,10
hudi,spark,job_14c,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,4371.0,job,10
hudi,spark,job_14c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3921.0,job,10
hudi,spark,job_14c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,6164.0,job,10
hudi,spark,job_14c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,6705.0,job,10
hudi,spark,job_14c,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,4418.0,job,10
hudi,spark,job_14c,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,6306.0,job,10
hudi,spark,job_14c,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4782.0,job,10
hudi,spark,job_14c,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,6278.0,job,10
hudi,spark,job_14c,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,4933.0,job,10
hudi,spark,job_14c,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,6998.0,job,10
hudi,spark,job_14c,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,6189.0,job,10
hudi,spark,job_15a,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3610.0,job,10
hudi,spark,job_15a,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,4191.0,job,10
hudi,spark,job_15a,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,5417.0,job,10
hudi,spark,job_15a,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3653.0,job,10
hudi,spark,job_15a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,4312.0,job,10
hudi,spark,job_15a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,6285.0,job,10
hudi,spark,job_15a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5405.0,job,10
hudi,spark,job_15a,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,3674.0,job,10
hudi,spark,job_15a,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,5492.0,job,10
hudi,spark,job_15a,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3760.0,job,10
hudi,spark,job_15a,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,5465.0,job,10
hudi,spark,job_15a,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,4020.0,job,10
hudi,spark,job_15a,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,5460.0,job,10
hudi,spark,job_15a,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,5841.0,job,10
hudi,spark,job_15b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,4600.0,job,10
hudi,spark,job_15b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,3697.0,job,10
hudi,spark,job_15b,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,5365.0,job,10
hudi,spark,job_15b,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3657.0,job,10
hudi,spark,job_15b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3763.0,job,10
hudi,spark,job_15b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5704.0,job,10
hudi,spark,job_15b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,6020.0,job,10
hudi,spark,job_15b,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,3854.0,job,10
hudi,spark,job_15b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,5333.0,job,10
hudi,spark,job_15b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4230.0,job,10
hudi,spark,job_15b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,5278.0,job,10
hudi,spark,job_15b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,3675.0,job,10
hudi,spark,job_15b,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,5727.0,job,10
hudi,spark,job_15b,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,5306.0,job,10
hudi,spark,job_15c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3860.0,job,10
hudi,spark,job_15c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,3819.0,job,10
hudi,spark,job_15c,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,6117.0,job,10
