datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,q3_2,20;198;136;9;36;512;1784,1119.0,ssb-flat,1
delta,presto,q3_3,20;198;136;9;36;512;1784,867.0,ssb-flat,1
delta,presto,q3_4,20;198;136;9;36;512;1784,630.0,ssb-flat,1
delta,presto,q4_1,20;198;136;9;36;512;1784,1128.0,ssb-flat,1
delta,presto,q4_2,20;198;136;9;36;512;1784,877.0,ssb-flat,1
delta,presto,q4_3,20;198;136;9;36;512;1784,911.0,ssb-flat,1
delta,presto,q1_1,26;207;16;6;6;2048;390,2171.0,ssb-flat,1
delta,presto,q1_2,26;207;16;6;6;2048;390,1911.0,ssb-flat,1
delta,presto,q1_3,26;207;16;6;6;2048;390,740.0,ssb-flat,1
delta,presto,q2_1,26;207;16;6;6;2048;390,3391.0,ssb-flat,1
delta,presto,q2_2,26;207;16;6;6;2048;390,3199.0,ssb-flat,1
delta,presto,q2_3,26;207;16;6;6;2048;390,2051.0,ssb-flat,1
delta,presto,q3_1,26;207;16;6;6;2048;390,2370.0,ssb-flat,1
delta,presto,q3_2,26;207;16;6;6;2048;390,2212.0,ssb-flat,1
delta,presto,q3_3,26;207;16;6;6;2048;390,1502.0,ssb-flat,1
delta,presto,q3_4,26;207;16;6;6;2048;390,1364.0,ssb-flat,1
delta,presto,q4_1,26;207;16;6;6;2048;390,1883.0,ssb-flat,1
delta,presto,q4_2,26;207;16;6;6;2048;390,1740.0,ssb-flat,1
delta,presto,q4_3,26;207;16;6;6;2048;390,1948.0,ssb-flat,1
delta,presto,q1_1,8;137;51;18;32;1024;942,1928.0,ssb-flat,1
delta,presto,q1_2,8;137;51;18;32;1024;942,825.0,ssb-flat,1
delta,presto,q1_3,8;137;51;18;32;1024;942,704.0,ssb-flat,1
delta,presto,q2_1,8;137;51;18;32;1024;942,2588.0,ssb-flat,1
delta,presto,q2_2,8;137;51;18;32;1024;942,2051.0,ssb-flat,1
delta,presto,q2_3,8;137;51;18;32;1024;942,1291.0,ssb-flat,1
delta,presto,q3_1,8;137;51;18;32;1024;942,1558.0,ssb-flat,1
delta,presto,q3_2,8;137;51;18;32;1024;942,1418.0,ssb-flat,1
delta,presto,q3_3,8;137;51;18;32;1024;942,1091.0,ssb-flat,1
delta,presto,q3_4,8;137;51;18;32;1024;942,877.0,ssb-flat,1
delta,presto,q4_1,8;137;51;18;32;1024;942,1404.0,ssb-flat,1
delta,presto,q4_2,8;137;51;18;32;1024;942,1134.0,ssb-flat,1
delta,presto,q4_3,8;137;51;18;32;1024;942,1242.0,ssb-flat,1
delta,presto,q1_1,17;255;148;39;39;1024;406,1604.0,ssb-flat,1
delta,presto,q1_2,17;255;148;39;39;1024;406,1938.0,ssb-flat,1
delta,presto,q1_3,17;255;148;39;39;1024;406,556.0,ssb-flat,1
delta,presto,q2_1,17;255;148;39;39;1024;406,2019.0,ssb-flat,1
delta,presto,q2_2,17;255;148;39;39;1024;406,2380.0,ssb-flat,1
delta,presto,q2_3,17;255;148;39;39;1024;406,1169.0,ssb-flat,1
delta,presto,q3_1,17;255;148;39;39;1024;406,1495.0,ssb-flat,1
delta,presto,q3_2,17;255;148;39;39;1024;406,1378.0,ssb-flat,1
delta,presto,q3_3,17;255;148;39;39;1024;406,1034.0,ssb-flat,1
delta,presto,q3_4,17;255;148;39;39;1024;406,899.0,ssb-flat,1
delta,presto,q4_1,17;255;148;39;39;1024;406,1244.0,ssb-flat,1
delta,presto,q4_2,17;255;148;39;39;1024;406,1294.0,ssb-flat,1
delta,presto,q4_3,17;255;148;39;39;1024;406,1093.0,ssb-flat,1
delta,presto,q1_1,16;187;151;11;39;256;699,1828.0,ssb-flat,1
delta,presto,q1_2,16;187;151;11;39;256;699,1656.0,ssb-flat,1
delta,presto,q1_3,16;187;151;11;39;256;699,460.0,ssb-flat,1
delta,presto,q2_1,16;187;151;11;39;256;699,1371.0,ssb-flat,1
delta,presto,q2_2,16;187;151;11;39;256;699,1939.0,ssb-flat,1
delta,presto,q2_3,16;187;151;11;39;256;699,823.0,ssb-flat,1
delta,presto,q3_1,16;187;151;11;39;256;699,968.0,ssb-flat,1
delta,presto,q3_2,16;187;151;11;39;256;699,845.0,ssb-flat,1
delta,presto,q3_3,16;187;151;11;39;256;699,687.0,ssb-flat,1
delta,presto,q3_4,16;187;151;11;39;256;699,532.0,ssb-flat,1
delta,presto,q4_1,16;187;151;11;39;256;699,903.0,ssb-flat,1
delta,presto,q4_2,16;187;151;11;39;256;699,803.0,ssb-flat,1
delta,presto,q4_3,16;187;151;11;39;256;699,671.0,ssb-flat,1
delta,presto,q1_1,13;273;156;13;43;512;821,1795.0,ssb-flat,1
delta,presto,q1_2,13;273;156;13;43;512;821,1802.0,ssb-flat,1
delta,presto,q1_3,13;273;156;13;43;512;821,556.0,ssb-flat,1
delta,presto,q2_1,13;273;156;13;43;512;821,1445.0,ssb-flat,1
delta,presto,q2_2,13;273;156;13;43;512;821,1116.0,ssb-flat,1
delta,presto,q2_3,13;273;156;13;43;512;821,860.0,ssb-flat,1
delta,presto,q3_1,13;273;156;13;43;512;821,992.0,ssb-flat,1
delta,presto,q3_2,13;273;156;13;43;512;821,984.0,ssb-flat,1
delta,presto,q3_3,13;273;156;13;43;512;821,825.0,ssb-flat,1
delta,presto,q3_4,13;273;156;13;43;512;821,630.0,ssb-flat,1
delta,presto,q4_1,13;273;156;13;43;512;821,952.0,ssb-flat,1
delta,presto,q4_2,13;273;156;13;43;512;821,868.0,ssb-flat,1
delta,presto,q4_3,13;273;156;13;43;512;821,816.0,ssb-flat,1
delta,presto,q1_1,27;164;108;29;29;128;775,1544.0,ssb-flat,1
delta,presto,q1_2,27;164;108;29;29;128;775,1574.0,ssb-flat,1
delta,presto,q1_3,27;164;108;29;29;128;775,504.0,ssb-flat,1
delta,presto,q2_1,27;164;108;29;29;128;775,972.0,ssb-flat,1
delta,presto,q2_2,27;164;108;29;29;128;775,1803.0,ssb-flat,1
delta,presto,q2_3,27;164;108;29;29;128;775,644.0,ssb-flat,1
delta,presto,q3_1,27;164;108;29;29;128;775,830.0,ssb-flat,1
delta,presto,q3_2,27;164;108;29;29;128;775,768.0,ssb-flat,1
delta,presto,q3_3,27;164;108;29;29;128;775,580.0,ssb-flat,1
delta,presto,q3_4,27;164;108;29;29;128;775,469.0,ssb-flat,1
delta,presto,q4_1,27;164;108;29;29;128;775,838.0,ssb-flat,1
delta,presto,q4_2,27;164;108;29;29;128;775,702.0,ssb-flat,1
delta,presto,q4_3,27;164;108;29;29;128;775,690.0,ssb-flat,1
delta,presto,q1_1,12;281;136;9;36;2048;938,2341.0,ssb-flat,1
delta,presto,q1_2,12;281;136;9;36;2048;938,872.0,ssb-flat,1
delta,presto,q1_3,12;281;136;9;36;2048;938,1621.0,ssb-flat,1
delta,presto,q2_1,12;281;136;9;36;2048;938,3728.0,ssb-flat,1
delta,presto,q2_2,12;281;136;9;36;2048;938,2552.0,ssb-flat,1
delta,presto,q2_3,12;281;136;9;36;2048;938,1737.0,ssb-flat,1
delta,presto,q3_1,12;281;136;9;36;2048;938,2298.0,ssb-flat,1
delta,presto,q3_2,12;281;136;9;36;2048;938,2165.0,ssb-flat,1
