datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,ssb_flat_q_27,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,4713.27,ssb-flat,10
iceberg,presto,ssb_flat_queries,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,2128.61,ssb-flat,10
iceberg,presto,ssb_flat_q_01,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,6191.08,ssb-flat,10
iceberg,presto,ssb_flat_q_02,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,9259.23,ssb-flat,10
iceberg,presto,ssb_flat_q_03,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,5025.6,ssb-flat,10
iceberg,presto,ssb_flat_q_04,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,6143.06,ssb-flat,10
iceberg,presto,ssb_flat_q_06,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,4226.79,ssb-flat,10
iceberg,presto,ssb_flat_q_07,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,2061.99,ssb-flat,10
iceberg,presto,ssb_flat_q_08,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,3752.36,ssb-flat,10
iceberg,presto,ssb_flat_q_11,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,4635.89,ssb-flat,10
iceberg,presto,ssb_flat_q_12,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,6419.89,ssb-flat,10
iceberg,presto,ssb_flat_q_14,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,3570.41,ssb-flat,10
iceberg,presto,ssb_flat_q_21,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,3915.12,ssb-flat,10
iceberg,presto,ssb_flat_q_22,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,3628.41,ssb-flat,10
iceberg,presto,ssb_flat_q_25,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,7187.19,ssb-flat,10
iceberg,presto,ssb_flat_q_26,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,5683.39,ssb-flat,10
iceberg,presto,ssb_flat_q_27,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,4072.87,ssb-flat,10
iceberg,presto,ssb_flat_queries,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,3541.04,ssb-flat,10
iceberg,presto,ssb_flat_q_01,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,5952.68,ssb-flat,10
iceberg,presto,ssb_flat_q_02,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,11046.44,ssb-flat,10
iceberg,presto,ssb_flat_q_03,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,4814.81,ssb-flat,10
iceberg,presto,ssb_flat_q_04,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,9393.58,ssb-flat,10
iceberg,presto,ssb_flat_q_06,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,4022.19,ssb-flat,10
iceberg,presto,ssb_flat_q_07,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,3484.81,ssb-flat,10
iceberg,presto,ssb_flat_q_08,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,3623.23,ssb-flat,10
iceberg,presto,ssb_flat_q_11,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,3961.37,ssb-flat,10
iceberg,presto,ssb_flat_q_12,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,12736.64,ssb-flat,10
iceberg,presto,ssb_flat_q_14,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,4125.16,ssb-flat,10
iceberg,presto,ssb_flat_q_21,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,7751.91,ssb-flat,10
iceberg,presto,ssb_flat_q_22,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,4751.83,ssb-flat,10
iceberg,presto,ssb_flat_q_25,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,12019.49,ssb-flat,10
iceberg,presto,ssb_flat_q_26,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,4281.02,ssb-flat,10
