datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,ssb_flat_q_10,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,8256.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;0;1,8429.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;1;0,7842.0,ssb-flat,10
hudi,trino,ssb_flat_q_11,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1101.0,ssb-flat,10
hudi,trino,ssb_flat_q_11,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1773.0,ssb-flat,10
hudi,trino,ssb_flat_q_11,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,893.0,ssb-flat,10
hudi,trino,ssb_flat_q_11,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,1474.0,ssb-flat,10
hudi,trino,ssb_flat_q_11,103.0;14.0;36.0;20.0;256.0;237.0;280.0|0;1;1,939.0,ssb-flat,10
hudi,trino,ssb_flat_q_11,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,2108.0,ssb-flat,10
hudi,trino,ssb_flat_q_11,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,1090.0,ssb-flat,10
hudi,trino,ssb_flat_q_11,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,1937.0,ssb-flat,10
hudi,trino,ssb_flat_q_11,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,870.0,ssb-flat,10
hudi,trino,ssb_flat_q_11,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,1027.0,ssb-flat,10
